year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name
2021,        ,12,123,50,0,0,2,4,    5680,     137,     850,     152,    4830,     185, 15.0,  2.6, 85.0,  2.6, 11.6,  2.1, 65.9,  2.5,Florida                                                               ,Taylor County                                
2021,        ,12,27,50,5,0,2,2,    4396,     191,    1237,     240,    3159,     260, 28.1,  5.2, 71.9,  5.2, 16.4,  3.2, 41.9,  3.4,Florida                                                               ,DeSoto County                                
2021,        ,12,71,50,5,0,1,1,   48312,    2335,   18217,    2121,   30095,    2405, 37.7,  4.0, 62.3,  4.0,  9.4,  1.1, 15.5,  1.2,Florida                                                               ,Lee County                                   
2021,        ,12,93,50,1,0,2,2,    5287,     245,    1516,     275,    3771,     302, 28.7,  4.9, 71.3,  4.9, 14.7,  2.7, 36.5,  2.9,Florida                                                               ,Okeechobee County                            
2021,        ,12,91,50,5,0,2,4,   34863,     992,    7241,    1185,   27622,    1394, 20.8,  3.3, 79.2,  3.3, 12.1,  2.0, 46.3,  2.3,Florida                                                               ,Okaloosa County                              
2021,        ,12,19,50,1,0,1,3,    8068,     687,    2556,     498,    5512,     640, 31.7,  5.5, 68.3,  5.5,  3.8,  0.7,  8.3,  1.0,Florida                                                               ,Clay County                                  
2021,        ,12,97,50,1,0,0,5,  124509,    3253,   24386,    2243,  100123,    3447, 19.6,  1.7, 80.4,  1.7,  9.8,  0.9, 40.2,  1.4,Florida                                                               ,Osceola County                               
2021,        ,12,77,50,1,0,0,4,    2600,      64,     542,      72,    2058,      87, 20.8,  2.7, 79.2,  2.7, 15.5,  2.1, 59.0,  2.5,Florida                                                               ,Liberty County                               
2021,        ,12,21,50,3,0,0,4,   33140,    1497,    7572,    1214,   25568,    1639, 22.8,  3.5, 77.2,  3.5,  9.8,  1.6, 33.2,  2.1,Florida                                                               ,Collier County                               
2021,        ,12,0,40,3,2,1,3,   57706,    3300,   15646,    2589,   42060,    3433, 27.1,  4.2, 72.9,  4.2,  6.1,  1.0, 16.5,  1.3,Florida                                                               ,                                             
2021,        ,12,19,50,3,0,2,3,    2890,     551,     627,     262,    2263,     483, 21.7,  7.9, 78.3,  7.9,  2.7,  1.1,  9.7,  2.1,Florida                                                               ,Clay County                                  
2021,        ,12,125,50,3,0,2,4,     616,      56,      69,      27,     547,      55, 11.2,  4.3, 88.8,  4.3,  7.8,  3.1, 62.2,  6.3,Florida                                                               ,Union County                                 
2021,        ,12,73,50,4,0,0,4,   38594,     976,    2332,     582,   36262,    1090,  6.0,  1.5, 94.0,  1.5,  4.1,  1.0, 64.2,  1.9,Florida                                                               ,Leon County                                  
2021,        ,12,0,40,5,3,1,2,  723073,   11338,  272590,   12037,  450483,   12998, 37.7,  1.5, 62.3,  1.5, 15.7,  0.7, 25.9,  0.7,Florida                                                               ,                                             
2021,        ,12,9,50,3,0,0,4,   69792,    1939,   11465,    1802,   58327,    2404, 16.4,  2.5, 83.6,  2.5,  8.2,  1.3, 41.7,  1.7,Florida                                                               ,Brevard County                               
2021,        ,12,81,50,1,0,0,5,   88360,    2237,   21158,    1810,   67202,    2442, 23.9,  2.0, 76.1,  2.0,  9.5,  0.8, 30.3,  1.1,Florida                                                               ,Manatee County                               
2021,        ,12,59,50,1,0,2,2,    2824,     132,     606,     130,    2218,     157, 21.5,  4.4, 78.5,  4.4, 12.0,  2.6, 43.8,  3.1,Florida                                                               ,Holmes County                                
2021,        ,12,3,50,0,0,0,3,    5112,     269,     968,     155,    4144,     255, 18.9,  2.8, 81.1,  2.8,  4.4,  0.7, 18.7,  1.2,Florida                                                               ,Baker County                                 
2021,        ,12,67,50,1,0,1,3,     598,      71,     213,      49,     385,      59, 35.6,  6.7, 64.4,  6.7,  9.9,  2.3, 18.0,  2.8,Florida                                                               ,Lafayette County                             
2021,        ,12,93,50,0,0,0,2,   15787,     385,    3786,     419,   12001,     477, 24.0,  2.5, 76.0,  2.5, 12.9,  1.4, 40.9,  1.6,Florida                                                               ,Okeechobee County                            
2021,        ,12,39,50,2,0,2,4,    5192,     177,     934,     213,    4258,     256, 18.0,  4.1, 82.0,  4.1, 13.1,  3.0, 59.9,  3.6,Florida                                                               ,Gadsden County                               
2021,        ,12,105,50,5,0,1,2,   82183,    3470,   28302,    3088,   53881,    3499, 34.4,  3.4, 65.6,  3.4, 14.4,  1.6, 27.4,  1.8,Florida                                                               ,Polk County                                  
2021,        ,12,73,50,5,0,2,0,   84968,       0,   10311,    1760,   74657,    1760, 12.1,  2.1, 87.9,  2.1, 12.1,  2.1, 87.9,  2.1,Florida                                                               ,Leon County                                  
2021,        ,12,133,50,0,0,2,4,    7309,     170,    1223,     201,    6086,     237, 16.7,  2.7, 83.3,  2.7, 13.3,  2.2, 66.4,  2.6,Florida                                                               ,Washington County                            
2021,        ,12,9,50,3,0,1,4,   32802,    1384,    5861,    1249,   26941,    1677, 17.9,  3.7, 82.1,  3.7,  8.7,  1.8, 39.8,  2.5,Florida                                                               ,Brevard County                               
2021,        ,12,133,50,0,0,0,2,    9837,     272,    1970,     244,    7867,     303, 20.0,  2.4, 80.0,  2.4, 10.7,  1.3, 42.8,  1.6,Florida                                                               ,Washington County                            
2021,        ,12,17,50,1,0,2,2,   17795,     818,    4092,     763,   13703,     933, 23.0,  4.1, 77.0,  4.1, 10.4,  1.9, 34.8,  2.4,Florida                                                               ,Citrus County                                
2021,        ,12,31,50,5,0,1,2,   94991,    3328,   28308,    3192,   66683,    3856, 29.8,  3.2, 70.2,  3.2, 10.1,  1.1, 23.9,  1.4,Florida                                                               ,Duval County                                 
2021,        ,12,85,50,2,0,1,1,    4447,     374,    1751,     368,    2696,     392, 39.4,  7.4, 60.6,  7.4,  7.1,  1.5, 11.0,  1.6,Florida                                                               ,Martin County                                
2021,        ,12,0,40,1,1,0,5, 2330165,   20072,  428787,   13996, 1901378,   20804, 18.4,  0.6, 81.6,  0.6,  6.9,  0.2, 30.4,  0.3,Florida                                                               ,                                             
2021,        ,12,11,50,3,0,1,5,   74698,    2740,   13946,    1950,   60752,    2961, 18.7,  2.5, 81.3,  2.5,  7.1,  1.0, 30.9,  1.5,Florida                                                               ,Broward County                               
2021,        ,12,69,50,2,0,2,1,   17066,    1387,    4051,     919,   13015,    1341, 23.7,  5.0, 76.3,  5.0,  6.4,  1.4, 20.5,  2.1,Florida                                                               ,Lake County                                  
2021,        ,12,3,50,4,0,0,5,    3659,     182,     292,      72,    3367,     183,  8.0,  1.9, 92.0,  1.9,  4.1,  1.0, 47.7,  2.6,Florida                                                               ,Baker County                                 
2021,        ,12,0,40,0,2,1,4,  999237,    9741,  195138,   10956,  804099,   12971, 19.5,  1.1, 80.5,  1.1, 15.0,  0.8, 61.8,  1.0,Florida                                                               ,                                             
2021,        ,12,0,40,5,0,2,4, 3768903,   20641,  796195,   21837, 2972708,   26266, 21.1,  0.6, 78.9,  0.6, 13.1,  0.4, 49.0,  0.4,Florida                                                               ,                                             
