year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name
2020,        ,12,47,50,1,0,0,5,    2977,     124,     577,      83,    2400,     130, 19.4,  2.7, 80.6,  2.7,  9.1,  1.3, 37.9,  2.1,Florida                                                               ,Hamilton County                              
2020,        ,12,113,50,5,0,2,0,   53630,       0,    8881,    1500,   44749,    1500, 16.6,  2.8, 83.4,  2.8, 16.6,  2.8, 83.4,  2.8,Florida                                                               ,Santa Rosa County                            
2020,        ,12,15,50,1,0,2,3,    7877,     674,    2301,     547,    5576,     678, 29.2,  6.4, 70.8,  6.4,  4.9,  1.2, 11.9,  1.4,Florida                                                               ,Charlotte County                             
2020,        ,12,109,50,2,0,0,4,   32890,    1315,    6386,    1033,   26504,    1456, 19.4,  3.0, 80.6,  3.0,  6.5,  1.1, 27.1,  1.5,Florida                                                               ,St. Johns County                             
2020,        ,12,17,50,5,0,2,2,   16222,     728,    3576,     807,   12646,     941, 22.0,  4.8, 78.0,  4.8,  9.9,  2.2, 34.8,  2.6,Florida                                                               ,Citrus County                                
2020,        ,12,0,40,3,3,0,3,  186421,    7414,   49504,    5678,  136917,    7550, 26.6,  2.8, 73.4,  2.8,  4.9,  0.6, 13.5,  0.7,Florida                                                               ,                                             
2020,        ,12,41,50,5,0,2,0,    4803,       0,     774,     162,    4029,     162, 16.1,  3.4, 83.9,  3.4, 16.1,  3.4, 83.9,  3.4,Florida                                                               ,Gilchrist County                             
2020,        ,12,101,50,0,0,2,4,  140164,    3364,   23375,    2810,  116789,    3857, 16.7,  2.0, 83.3,  2.0, 10.6,  1.3, 52.8,  1.7,Florida                                                               ,Pasco County                                 
2020,        ,12,133,50,4,0,0,2,    3322,     121,     356,     113,    2966,     153, 10.7,  3.4, 89.3,  3.4,  7.0,  2.2, 58.1,  3.0,Florida                                                               ,Washington County                            
2020,        ,12,99,50,2,0,1,1,   47833,    2377,   19270,    2482,   28563,    2650, 40.3,  4.7, 59.7,  4.7,  8.5,  1.1, 12.6,  1.2,Florida                                                               ,Palm Beach County                            
2020,        ,12,77,50,1,0,0,5,    1784,      73,     350,      54,    1434,      79, 19.6,  2.9, 80.4,  2.9,  9.5,  1.5, 39.1,  2.2,Florida                                                               ,Liberty County                               
2020,        ,12,57,50,5,0,2,5,  178662,    4379,   30228,    3274,  148434,    4868, 16.9,  1.8, 83.1,  1.8,  6.7,  0.7, 33.0,  1.1,Florida                                                               ,Hillsborough County                          
2020,        ,12,51,50,5,0,0,0,   23064,       0,    7762,     829,   15302,     829, 33.7,  3.6, 66.3,  3.6, 33.7,  3.6, 66.3,  3.6,Florida                                                               ,Hendry County                                
2020,        ,12,131,50,0,0,2,4,   17543,     675,    3381,     596,   14162,     781, 19.3,  3.3, 80.7,  3.3, 11.3,  2.0, 47.5,  2.6,Florida                                                               ,Walton County                                
2020,        ,12,113,50,5,0,0,1,   23885,    1308,    8164,    1179,   15721,    1346, 34.2,  4.5, 65.8,  4.5,  7.7,  1.1, 14.8,  1.3,Florida                                                               ,Santa Rosa County                            
2020,        ,12,0,40,0,0,2,3, 1746029,   22722,  406358,   16221, 1339671,   22756, 23.3,  0.9, 76.7,  0.9,  4.8,  0.2, 15.9,  0.3,Florida                                                               ,                                             
2020,        ,12,89,50,5,0,2,2,    7523,     453,    1797,     433,    5726,     520, 23.9,  5.5, 76.1,  5.5,  7.1,  1.7, 22.6,  2.0,Florida                                                               ,Nassau County                                
2020,        ,12,3,50,0,0,1,5,    5336,     238,     853,     151,    4483,     250, 16.0,  2.8, 84.0,  2.8,  7.6,  1.4, 40.1,  2.2,Florida                                                               ,Baker County                                 
2020,        ,12,61,50,5,0,1,1,    9447,     614,    3584,     680,    5863,     735, 37.9,  6.7, 62.1,  6.7,  9.7,  1.8, 15.9,  2.0,Florida                                                               ,Indian River County                          
2020,        ,12,89,50,0,0,0,4,   37869,     913,    6676,     806,   31193,    1070, 17.6,  2.1, 82.4,  2.1,  9.5,  1.2, 44.6,  1.5,Florida                                                               ,Nassau County                                
2020,        ,12,43,50,1,0,2,2,    1572,      93,     557,     126,    1015,     132, 35.4,  7.6, 64.6,  7.6, 17.5,  4.0, 32.0,  4.2,Florida                                                               ,Glades County                                
2020,        ,12,105,50,3,0,1,1,   17827,    2039,    3953,    1141,   13874,    1862, 22.2,  5.8, 77.8,  5.8,  6.3,  1.8, 22.0,  2.9,Florida                                                               ,Polk County                                  
2020,        ,12,31,50,1,0,1,0,  283501,       0,   49005,    4759,  234496,    4759, 17.3,  1.7, 82.7,  1.7, 17.3,  1.7, 82.7,  1.7,Florida                                                               ,Duval County                                 
2020,        ,12,69,50,3,0,1,3,    5569,    1201,    1796,     699,    3773,     979, 32.2, 10.1, 67.8, 10.1,  5.2,  2.0, 10.9,  2.8,Florida                                                               ,Lake County                                  
2020,        ,12,29,50,3,0,1,5,     804,      75,     120,      47,     684,      79, 14.9,  5.7, 85.1,  5.7,  7.2,  2.8, 41.2,  4.8,Florida                                                               ,Dixie County                                 
2020,        ,12,77,50,1,0,2,0,    1809,       0,     295,      63,    1514,      63, 16.3,  3.5, 83.7,  3.5, 16.3,  3.5, 83.7,  3.5,Florida                                                               ,Liberty County                               
2020,        ,12,61,50,5,0,2,1,   11455,     678,    3413,     731,    8042,     826, 29.8,  6.1, 70.2,  6.1,  8.5,  1.8, 20.0,  2.1,Florida                                                               ,Indian River County                          
2020,        ,12,103,50,2,0,0,0,  331249,       0,   45020,    4176,  286229,    4176, 13.6,  1.3, 86.4,  1.3, 13.6,  1.3, 86.4,  1.3,Florida                                                               ,Pinellas County                              
2020,        ,12,27,50,5,0,2,3,    2822,     231,     950,     244,    1872,     258, 33.7,  7.9, 66.3,  7.9, 11.5,  2.9, 22.6,  3.1,Florida                                                               ,DeSoto County                                
2020,        ,12,131,50,0,0,2,0,   29818,       0,    4305,     700,   25513,     700, 14.4,  2.3, 85.6,  2.3, 14.4,  2.3, 85.6,  2.3,Florida                                                               ,Walton County                                
2020,        ,12,55,50,5,0,1,4,   16634,     522,    4898,     798,   11736,     858, 29.4,  4.7, 70.6,  4.7, 21.6,  3.5, 51.7,  3.8,Florida                                                               ,Highlands County                             
2020,        ,12,97,50,5,0,1,0,  109499,       0,   21199,    3085,   88300,    3085, 19.4,  2.8, 80.6,  2.8, 19.4,  2.8, 80.6,  2.8,Florida                                                               ,Osceola County                               
2020,        ,12,113,50,0,0,0,0,  153289,       0,   21986,    2216,  131303,    2216, 14.3,  1.4, 85.7,  1.4, 14.3,  1.4, 85.7,  1.4,Florida                                                               ,Santa Rosa County                            
2020,        ,12,9,50,2,0,1,2,   28399,    1327,    7588,    1479,   20811,    1713, 26.7,  5.0, 73.3,  5.0,  7.8,  1.5, 21.3,  1.8,Florida                                                               ,Brevard County                               
2020,        ,12,95,50,1,0,0,4,  546904,    7635,  130551,    8803,  416353,   10210, 23.9,  1.6, 76.1,  1.6, 14.6,  1.0, 46.5,  1.1,Florida                                                               ,Orange County                                
2020,        ,12,95,50,0,0,0,0, 1191190,       0,  175979,   10657, 1015211,   10657, 14.8,  0.9, 85.2,  0.9, 14.8,  0.9, 85.2,  0.9,Florida                                                               ,Orange County                                
2020,        ,12,83,50,0,0,1,0,  122511,       0,   21133,    2561,  101378,    2561, 17.2,  2.1, 82.8,  2.1, 17.2,  2.1, 82.8,  2.1,Florida                                                               ,Marion County                                
2020,        ,12,0,40,1,1,1,1,  626508,   12734,  193837,   10246,  432671,   12840, 30.9,  1.5, 69.1,  1.5,  6.3,  0.3, 14.0,  0.4,Florida                                                               ,                                             
