year,county_name,state_name,NIPR,PCTUI,PCTIC,PCTELIG,PCTLIIC
2019,Martin County                                ,Florida                                                               ,30307,24.8,75.2,9.7,29.4
2019,Indian River County                          ,Florida                                                               ,9256,31.0,69.0,5.6,12.5
2019,DeSoto County                                ,Florida                                                               ,2333,29.4,70.6,22.3,53.5
2019,Bay County                                   ,Florida                                                               ,30186,25.8,74.2,15.9,45.7
2019,Lee County                                   ,Florida                                                               ,66807,37.3,62.7,13.2,22.3
2019,Gadsden County                               ,Florida                                                               ,5669,29.0,71.0,13.8,33.7
2019,Polk County                                  ,Florida                                                               ,38526,27.2,72.8,10.2,27.3
2019,Wakulla County                               ,Florida                                                               ,4091,7.2,92.8,4.0,52.1
2019,Gadsden County                               ,Florida                                                               ,3636,20.3,79.7,9.8,38.6
2019,Sumter County                                ,Florida                                                               ,12654,19.0,81.0,11.0,46.8
2019,Dixie County                                 ,Florida                                                               ,1334,16.8,83.2,12.9,63.8
2019,Charlotte County                             ,Florida                                                               ,9677,18.9,81.1,7.8,33.6
2019,Union County                                 ,Florida                                                               ,2620,21.3,78.7,10.2,37.7
2019,Jackson County                               ,Florida                                                               ,4496,19.7,80.3,8.1,33.1
2019,Alachua County                               ,Florida                                                               ,68071,11.3,88.7,11.3,88.7
2019,Sarasota County                              ,Florida                                                               ,269618,16.0,84.0,16.0,84.0
2019,St. Johns County                             ,Florida                                                               ,6002,33.4,66.6,2.9,5.7
2019,Glades County                                ,Florida                                                               ,766,40.6,59.4,8.2,12.0
2019,Lake County                                  ,Florida                                                               ,9847,27.2,72.8,4.5,12.1
2019,Franklin County                              ,Florida                                                               ,1123,19.7,80.3,12.4,50.6
2019,Marion County                                ,Florida                                                               ,14220,20.6,79.4,9.1,35.1
2019,Columbia County                              ,Florida                                                               ,7212,17.0,83.0,11.2,54.7
2019,St. Johns County                             ,Florida                                                               ,33353,28.0,72.0,6.1,15.8
2019,Union County                                 ,Florida                                                               ,567,21.2,78.8,4.3,16.0
2019,Okaloosa County                              ,Florida                                                               ,107147,19.0,81.0,11.8,50.5
2019,Okaloosa County                              ,Florida                                                               ,21761,25.1,74.9,9.2,27.5
2020,Sarasota County                              ,Florida                                                               ,8620,30.5,69.5,6.1,14.0
2020,Wakulla County                               ,Florida                                                               ,2390,29.6,70.4,7.8,18.6
2020,Union County                                 ,Florida                                                               ,1138,14.0,86.0,6.2,38.0
2020,Taylor County                                ,Florida                                                               ,3782,12.6,87.4,12.6,87.4
2020,Hernando County                              ,Florida                                                               ,8807,35.0,65.0,6.3,11.7
2020,Nassau County                                ,Florida                                                               ,18720,7.7,92.3,7.7,92.3
2020,Jackson County                               ,Florida                                                               ,8334,14.3,85.7,7.9,47.5
2020,Hernando County                              ,Florida                                                               ,26994,18.4,81.6,6.9,30.6
2020,Palm Beach County                            ,Florida                                                               ,50368,47.2,52.8,6.1,6.9
2020,Charlotte County                             ,Florida                                                               ,12070,8.3,91.7,4.3,47.2
2020,Palm Beach County                            ,Florida                                                               ,116283,40.1,59.9,5.9,8.8
2020,Taylor County                                ,Florida                                                               ,1090,17.8,82.2,6.5,30.0
2020,Flagler County                               ,Florida                                                               ,7624,32.9,67.1,8.7,17.7
2020,Glades County                                ,Florida                                                               ,1489,35.5,64.5,17.5,31.8
2020,Lake County                                  ,Florida                                                               ,31698,35.4,64.6,12.3,22.4
2020,Orange County                                ,Florida                                                               ,159604,31.9,68.1,5.7,12.1
2020,Charlotte County                             ,Florida                                                               ,11706,7.9,92.1,3.9,46.0
2020,Okaloosa County                              ,Florida                                                               ,26048,24.7,75.3,10.5,32.2
2020,Palm Beach County                            ,Florida                                                               ,86646,32.8,67.2,5.2,10.6
2020,Polk County                                  ,Florida                                                               ,198297,20.4,79.6,14.3,55.8
2020,Hardee County                                ,Florida                                                               ,458,26.9,73.1,5.8,15.8
2020,Holmes County                                ,Florida                                                               ,2538,26.0,74.0,13.3,38.0
2020,Holmes County                                ,Florida                                                               ,1284,16.0,84.0,6.9,36.4
2020,Broward County                               ,Florida                                                               ,127052,25.3,74.7,8.1,23.8
2020,Columbia County                              ,Florida                                                               ,6373,21.2,78.8,13.5,50.1
2020,Monroe County                                ,Florida                                                               ,8804,30.7,69.3,4.9,11.0
2020,Monroe County                                ,Florida                                                               ,16685,25.3,74.7,9.9,29.2
2020,Holmes County                                ,Florida                                                               ,1706,22.0,78.0,6.4,22.9
2020,Walton County                                ,Florida                                                               ,5000,37.8,62.2,8.8,14.4
2020,Manatee County                               ,Florida                                                               ,51424,26.3,73.7,4.7,13.1
2020,Lee County                                   ,Florida                                                               ,41738,29.0,71.0,9.7,23.7
2020,Hamilton County                              ,Florida                                                               ,2977,19.4,80.6,9.1,37.9
2020,Santa Rosa County                            ,Florida                                                               ,53630,16.6,83.4,16.6,83.4
2020,Charlotte County                             ,Florida                                                               ,7877,29.2,70.8,4.9,11.9
2020,St. Johns County                             ,Florida                                                               ,32890,19.4,80.6,6.5,27.1
2020,Citrus County                                ,Florida                                                               ,16222,22.0,78.0,9.9,34.8
