year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name
2022,        ,12,35,50,5,0,2,5,   13818,     787,    1778,     339,   12040,     775, 12.9,  2.4, 87.1,  2.4,  5.4,  1.0, 36.5,  2.3,Florida                                                               ,Flagler County                                                        
2022,        ,12,47,50,3,0,2,4,     911,      44,     152,      58,     759,      69, 16.7,  6.3, 83.3,  6.3, 12.7,  4.8, 63.3,  5.8,Florida                                                               ,Hamilton County                                                       
2022,        ,12,77,50,2,0,2,2,     456,      38,      95,      29,     361,      40, 20.8,  5.9, 79.2,  5.9,  9.6,  2.9, 36.5,  4.0,Florida                                                               ,Liberty County                                                        
2022,        ,12,95,50,5,0,2,3,   86431,    4141,   20454,    3064,   65977,    4217, 23.7,  3.3, 76.3,  3.3,  4.6,  0.7, 15.0,  1.0,Florida                                                               ,Orange County                                                         
2022,        ,12,43,50,0,0,1,1,    1414,      85,     450,      79,     964,      91, 31.8,  5.2, 68.2,  5.2, 11.9,  2.1, 25.5,  2.4,Florida                                                               ,Glades County                                                         
2022,        ,12,9,50,1,0,0,0,  361344,       0,   46527,    3885,  314817,    3885, 12.9,  1.1, 87.1,  1.1, 12.9,  1.1, 87.1,  1.1,Florida                                                               ,Brevard County                                                        
2022,        ,12,71,50,1,0,2,2,   80197,    3059,   21106,    2669,   59091,    3327, 26.3,  3.1, 73.7,  3.1,  9.6,  1.2, 26.9,  1.5,Florida                                                               ,Lee County                                                            
2022,        ,12,87,50,2,0,2,1,    2945,     262,     657,     185,    2288,     272, 22.3,  6.0, 77.7,  6.0,  4.6,  1.3, 15.9,  1.9,Florida                                                               ,Monroe County                                                         
2022,        ,12,79,50,0,0,1,1,    2802,     140,     629,     126,    2173,     159, 22.4,  4.3, 77.6,  4.3, 10.1,  2.0, 34.9,  2.6,Florida                                                               ,Madison County                                                        
2022,        ,12,7,50,3,0,0,5,    2158,     152,     304,      75,    1854,     149, 14.1,  3.3, 85.9,  3.3,  6.3,  1.5, 38.2,  3.1,Florida                                                               ,Bradford County                                                       
2022,        ,12,53,50,1,0,0,0,  113073,       0,   18400,    1937,   94673,    1937, 16.3,  1.7, 83.7,  1.7, 16.3,  1.7, 83.7,  1.7,Florida                                                               ,Hernando County                                                       
2022,        ,12,91,50,0,0,0,2,   65650,    1652,   12654,    1471,   52996,    1936, 19.3,  2.2, 80.7,  2.2,  7.1,  0.8, 29.7,  1.1,Florida                                                               ,Okaloosa County                                                       
2022,        ,12,107,50,0,0,1,1,   13237,     512,    2997,     517,   10240,     621, 22.6,  3.8, 77.4,  3.8, 11.0,  1.9, 37.6,  2.3,Florida                                                               ,Putnam County                                                         
2022,        ,12,13,50,2,0,0,4,    2712,      81,     490,      91,    2222,     113, 18.1,  3.3, 81.9,  3.3, 13.0,  2.4, 58.8,  3.0,Florida                                                               ,Calhoun County                                                        
2022,        ,12,19,50,3,0,2,5,    8333,     577,     959,     286,    7374,     588, 11.5,  3.4, 88.5,  3.4,  4.1,  1.2, 31.6,  2.5,Florida                                                               ,Clay County                                                           
