year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name
2019,        ,12,11,50,3,0,0,2,  130834,    4273,   36201,    4142,   94633,    4930, 27.7,  3.0, 72.3,  3.0,  9.1,  1.0, 23.7,  1.2,Florida                                                               ,Broward County                               
2019,        ,12,105,50,2,0,0,0,  213656,       0,   35876,    3281,  177780,    3281, 16.8,  1.5, 83.2,  1.5, 16.8,  1.5, 83.2,  1.5,Florida                                                               ,Polk County                                  
2019,        ,12,83,50,3,0,2,3,    7883,    1058,    1681,     575,    6202,     961, 21.3,  6.5, 78.7,  6.5,  4.4,  1.5, 16.3,  2.5,Florida                                                               ,Marion County                                
2019,        ,12,107,50,5,0,2,2,   11518,     406,    2858,     536,    8660,     587, 24.8,  4.5, 75.2,  4.5, 14.7,  2.8, 44.4,  3.0,Florida                                                               ,Putnam County                                
2019,        ,12,0,40,3,1,2,4,  630346,    9665,  113968,    6871,  516378,   10240, 18.1,  1.0, 81.9,  1.0,  8.8,  0.5, 39.7,  0.8,Florida                                                               ,                                             
2019,        ,12,35,50,0,0,1,2,   15134,     657,    3729,     554,   11405,     705, 24.6,  3.5, 75.4,  3.5,  9.8,  1.5, 30.1,  1.9,Florida                                                               ,Flagler County                               
2019,        ,12,65,50,2,0,0,4,    2833,     109,     527,      90,    2306,     123, 18.6,  3.1, 81.4,  3.1, 11.6,  2.0, 50.6,  2.7,Florida                                                               ,Jefferson County                             
2019,        ,12,0,40,0,1,2,4, 2249586,   19561,  381888,   13596, 1867698,   20324, 17.0,  0.6, 83.0,  0.6,  9.5,  0.3, 46.5,  0.5,Florida                                                               ,                                             
2019,        ,12,111,50,2,0,0,4,   65350,    2001,   14888,    1768,   50462,    2316, 22.8,  2.6, 77.2,  2.6, 14.4,  1.7, 48.7,  2.2,Florida                                                               ,St. Lucie County                             
2019,        ,12,29,50,2,0,0,5,    2268,     114,     388,      61,    1880,     113, 17.1,  2.6, 82.9,  2.6,  8.0,  1.3, 38.5,  2.3,Florida                                                               ,Dixie County                                 
2019,        ,12,73,50,0,0,1,0,  115442,       0,   14929,    1844,  100513,    1844, 12.9,  1.6, 87.1,  1.6, 12.9,  1.6, 87.1,  1.6,Florida                                                               ,Leon County                                  
2019,        ,12,17,50,2,0,0,4,   30089,     802,    6419,     880,   23670,    1050, 21.3,  2.9, 78.7,  2.9, 14.0,  1.9, 51.7,  2.3,Florida                                                               ,Citrus County                                
2019,        ,12,131,50,2,0,1,5,    4940,     524,    1203,     232,    3737,     467, 24.4,  4.2, 75.6,  4.2,  9.8,  1.9, 30.3,  3.8,Florida                                                               ,Walton County                                
